Title,Director,Cast,Genre,Year,new_Genre
Kodanda Ramudu,unknown,"J. D. Chakravarthi, Saptaparna Saha ,Rambha, Laya",Drama,2000,Drama
Annayya,unknown,"Chiranjeevi, Ravi Teja, Soundarya, Simran, Sharath Babu",Drama / Action,2000,Drama / Action
Postman,unknown,"Mohan Babu, Soundarya, Raasi",Romance,2000,Romance
Vamsoddharakudu,unknown,"Balakrishna Nandamuri, Sakshi Shivanand, Ramya Krishna, Krishnam Raju",Action,2000,Action
Kalisundam Raa,unknown,"Venkatesh, Simran",Drama,2000,Drama
Sammakka Sarakka,unknown,"Suman, Ramya Krishna, Roja, Jaya Pradha, Indraja, Brahmaji",Rebellion,2000,Rebellion
Kshemamga Velli Labhamga Randi,unknown,"Srikanth, Rajendra Prasad, Roja, Brahmanandam, Ramya Krishna, Kovai Sarala, Prakash Raj",Comedy,2000,Comedy
Ganapathi,unknown,"Srihari, Ashwani, Rami Reddy",Action,2000,Action
Hands Up,unknown,"Nagendra Babu, Jayasudha, Brahmanandam",Comedy,2000,Comedy
Chala Bagundi,unknown,"Srikanth, Malavika, Vadde Naveen, Asha Saini",Comedy,2000,Comedy
Nishabda Ratri,unknown,"Kaushal, Raksha",Thriller,2000,Thriller
Manasu Paddanu Kaani,unknown,"Venu Thottempudi, K. Vishwanath, Raasi, Ramya Krishna",Drama,2000,Drama
Ravanna,unknown,"Rajasekhar, Sanghavi, Soundarya, Krishna Ghattamaneni",Drama,2000,Drama
Sanchalanam,unknown,"Prakash Raj, Babloo Prithviraj, Roja",Action,2000,Action
Raghavayya Gari Abbayi,unknown,"Sri Harsha, Prema",Drama,2000,Drama
Balaram,unknown,"Srihari, Raasi, Vineeth, Maheshwari",Action,2000,Action
Nuvvu Vastavani,unknown,"Akkineni Nagarjuna, Simran, Isha Koppikar",Romance,2000,Romance
Yuvaraju,unknown,"Mahesh Babu, Simran, Sakshi Shivanand",Romance,2000,Romance
Badri,unknown,"Pawan Kalyan, Ameesha Patel, Renu Desai, Prakash Raj",Romance,2000,Romance
Madhuri,unknown,"Abbas, Anjana",Romance,2000,Romance
Pasupu Kumkuma,unknown,"Sijju, Jackie, Anjani Thakkar",Drama / Romance,2000,Drama / Romance
Manoharam,unknown,"Jagapathi Babu, Laya, Prakash Raj",Drama,2000,Drama
Yuvakudu,unknown,"Sumanth, Bhoomika Chawla, Jaya Sudha",Romance,2000,Romance
Oke Maata,unknown,"Upendra, Ramya Krishna, Raasi",Drama,2000,Drama
Nagulamma,unknown,"Babloo Prithviraj, Maheshwari",Drama,2000,Drama
Bagunnara,unknown,"Vadde Naveen, Priya Gill, Srihari, Vijayakumar",Drama,2000,Drama
Sivanna,unknown,"Sai Kumar, Manya",Action,2000,Action
Hindustan,unknown,"Naresh, Bhanupriya",Drama,2000,Drama
Real Story,unknown,"Prakash Raj, Sandhya, Brahmanandam",Drama,2000,Drama
Chitram,unknown,"Uday Kiran, Reema Sen",Romance,2000,Romance
Sivaji,unknown,"Srihari, Raasi",Action,2000,Action
Okkadu Chalu,unknown,"Rajasekhar, Suresh, Rambha, Sanghavi",Action,2000,Action
Adavi Chukka,unknown,"Vijayashanti, Charanraj, Suman",Action,2000,Action
Bachelors,Sana Yadi Reddy,"Sivaji, Manya",Romance,2000,Romance
Maa Pelliki Randi,Muppalaneni Shiva,"J. D. Chakravarthy, Sakshi Shivanand",Romance,2000,Romance
Pellam Vachindi,Krishna Reddy,"Suman, Manichandana, Radhika Chowdhary",Romance,2000,Romance
Goppinti Alludu,E. V. V. Satyanarayana,"Nandamuri Balakrishna, Simran, Sanghavi",Drama,2000,Drama
Pelli Sambandham,K. Raghavendra Rao,"Akkineni Nageshwara Rao, Sumanth, Sakshi Shivanand, Sanghavi",Drama,2000,Drama
Kouravudu,V. Jyotikumar,"Konidela Nagendra Babu, Ramya Krishna",Drama,2000,Drama
Sardukupodam Randi,S. V. Krishna Reddy,"Jagapathi Babu, Soundarya, Asha Saini, M. S. Narayana, Jayasudha",Comedy,2000,Comedy
Manasunna Maharaju,Muthyala Subbaiah,"Rajasekhar, Laya, Asha Saini",Drama,2000,Drama
9 Nelalu,Kranthi Kumar,"Vikram, Soundarya",Drama / Romance,2000,Drama / Romance
Ee Tharam Nehru,Siva Nagu,"Krishna Ghattamaneni, Suman, Suresh, Prema",Drama,2000,Drama
Chusodham Randi,Raja Vannem Reddy,"Jagapathi Babu, Srikanth, Rambha",Romance,2000,Romance
Manasichanu,Pramod Kumar,"Ravi Teja, Manichandana",Romance,2000,Romance
Vyjayanthi,K S Nageswara Rao,"Vijayashanti, Babloo Prithviraj",Action,2000,Action
February 14th Necklace Road,Seenu,"Suman, Bhanupriya",Thriller,2000,Thriller
Moodu Mukkalaata,K. Raghavendra Rao,"Jagapathi Babu, Soundarya, Rambha, Raasi",Comedy,2000,Comedy
Bhavani,Subba Rao,"Suresh, Babloo Prithviraj, Manya",Romance,2000,Romance
Ninne Premista,R. R. Shinde,"Akkineni Nagarjuna, Srikanth, Soundarya",Romance,2000,Romance
Rayalseema Ramanna Chowdary,Ravi Raja Pinisetty,"Mohan Babu, Jaya Sudha, Priya Gill",Action,2000,Action
Ayodhya Ramayya,Chandra Mahesh,"Srihari, Bhanupriya",Action,2000,Action
Tensionlo Tension,D Ranga Rao,"Ajay, Manichandana",Romance,2000,Romance
Azad,Tirupathy Swami,"Akkineni Nagarjuna, Raghuvaran, Soundarya, Shilpa Shetty, Prakash Raj",Action,2000,Action
Vamsi,B. Gopal,"Mahesh Babu, Namrata Shirodkar, Krishna Ghattamaneni",Action,2000,Action
Jayam Manadera,N. Shankar,"Venkatesh, Soundarya",Drama,2000,Drama
Nuvve Kavali,Vijayabhaskar,"Tarun Kumar, Richa Pallod, Saikiran",Romance,2000,Romance
Ammo! Okato Tareekhu,E. V. V. Satyanarayana,"Srikanth, Suresh, Raasi",Comedy drama,2000,Comedy drama
NTR Nagar,Babji,"Dupes, Manichandana",Drama,2000,Drama
Sri Sai Mahima,Ashok Kumar,"Om Prakash Rao, Jayasudha",Drama,2000,Drama
Sri Srimati Satyabhama,S. V. Krishna Reddy,"Rahman, Vijayashanti",Comedy,2000,Comedy
Bachi,Puri Jagannadh,"Jagapathi Babu, Neelambari, Kota Srinivasa Rao, Prakash Raj",Masala,2000,Masala
Devullu,Kodi Ramakrishna,"Ramya Krishna, Raasi, Srikanth, Laya, Rajendra Prasad",Fiction,2000,Fiction
College,Ravi Chavali,"Sivaji, Manya",Romance,2000,Romance
Chiru Navvuto,Vijaybhaskar,"Venu Thottempudi, Shaheen Khan, Sunil",Drama,2000,Drama
Anta mana Manchike,K. Veeru,"Rajendra Prasad, Rachana Banerjee, Asha Saini",Comedy,2000,Comedy
Vijayaramaraju,Veera Shankar,"Srihari, Urvashi",Action,2000,Action
Maa Annayya,Raviraja Pinisetty,"Rajasekhar, Meena Durairaj, Deepti Bhatnagar",Drama,2000,Drama
Subhavela,Ramana,"Ravikanth, Anasuya",Romance,2000,Romance
Uncle,Raja Sekhar,"Tarun, Pallavi",Drama,2000,Drama
Sakutumba Saparivaara Sametam,S. V. Krishna Reddy,"Akkineni Nageshwara Rao, Srikanth, Suhasini Maniratnam, Jayalakshmi",Drama,2000,Drama
Tirumala Tirupati Venkatesa,Sathibabu,"Srikanth, Ravi Teja, Roja, Maheshwari",Comedy,2000,Comedy
Unmadi,T. Krishna,"Surya, Sishwa, Ranjani",Thriller,2000,Thriller
