Title,Director,Cast,Genre,Year,new_Genre
Rajrani Meera,Debaki Bose,"K. L. Saigal, Durga Khote, Prithviraj Kapoor, Molina Devi, Pahari Sanyal, Durgadas Bannerjee, Manoranjan Bhattacharya, Amar Mullick, Chandravati Devi, Indubala, Ansari, Siddiqui",Devotional,1933,Devotional
Ramayana,J. J. Madan,"Leela, Narmada Shankar, Mukhtar Begum, Pyara Saheb",Religious,1933,Religious
Rambha Rani,Harshadrai Mehta,"Gauhar Karnataki, Baburao Apte, Shivrani Ghosh, Madhav Kale, Dulari, Amritlal Nagar, Bhim, Chandrika, Himmatlal, Lobo",Legend,1933,Legend
Rangila Rajput,M. Bhavnani,"Master Nissar, Bibbo, W. M. Khan, Ameena, Kabuli, Shahzadi, Mariyam",Costume,1933,Costume
Roop Basant,A. P. Kapoor,"Zebunissa, Sardar Akhtar, Ghulam Mohammed, Ashraf Khan, Iqbal",Costume,1933,Costume
Sairandhari,V. Shantaram,"Master Vinayak, Shakuntala, Leela, Mane, Nimbalkar, Prabhavati, Kulkarni, Salunke",Mythology,1933,Mythology
Sati Anusuya,Madanrai Vakil,"Mushtari, Jamshedji, Khansaheb, Devaskar, Chanda, Dinkar",Devotional,1933,Devotional
Sati Mahananda,Baburao Patel,"Padma Devi, Mubarak, Madhukar Gupte, Shirin Banu, Shantaram, Raja Pandit, Kamlavati",Devotional,1933,Devotional
Saubhagya Sundari,Homi Master,"D. Billimoria, Sulochana (Ruby Myers), Jamshedji, Khansaheb, Jilloobai, Khalil, Hadi, Syed Ahmed, Lakshmi",Costume,1933,Costume
Shan-E-Subhan,Faredoon Irani,"Sultana, Aziz, Rauf, Ismail, Agha Jan Kashmiri, Noorjahan, Aga Munne",Costume,1933,Costume
Sita Swayamvar,H. M. Reddy,"Padmavati Shaligram, Sundrabai, B. R. Tandon, Haridas, Sitara Devi, Bhagwandas, Tarabai, Vatsala Joshi",Religious,1933,Religious
Sohni Mahiwal,Harshadrai Mehta,"Gohar Karnataki, Baburao Apte, Chonker, Shivrani Ghosh, Nizam, Amritlal Nagar, Bhim, Kantilal, Lobo Naibux",Legend Romance,1933,Legend Romance
Sulochana a.k.a. Temple Bells,R. S. Choudhary,"Sulochana (Ruby Myers), D. Billimoria, Jilloobai, Ghulam Mohammed, Chanda, Jamshedji, Peerjan, Hadi",Cotume,1933,Cotume
Surya Kumari,Dhirubhai Desai,"Alaknanda, Ata Mohammed, Udvadia, Gulab, Tarabai, Kashinath, Shankar Rao Khatu",Social,1933,Social
Turki Sher,J. J. Madan,"Rose, Rajkumari, Sorabji Keravala, Rawidan, A. R. Kabuli, Kakajani Panthki",Costume,1933,Costume
Vikram Charitra,Harshadrai Mehta,"Gauhar Karnataki, Amritlal Nagar, Shivrani Ghosh, Bhim, Baburao Apte, Madhav Kale, Dulari, Himmatlal",Costume,1933,Costume
