Title,Director,Cast,Genre,Year
Thalla? Pellama?,NTR,"NTR, Chandrakala, Shanta Kumari, Harikrishna",,1970
Vidhi Vilasam,Tapi Chanakya,"Krishna, Vijaya Nirmala, Relangi, Vijayalalitha, Nagabhushanam",,1970
Vijayam Manade,B. Vittalacharya,"NTR, B. Saroja Devi",,1970
Adrusta Jathakudu,K. Hemambaradhara Rao,"N. T. Rama Rao, Vanisri",,1971
Amaayakuraalu,V. Madhusudhana Rao,"ANR, Kanchana",,1971
Anuradha,,,,1971
Bangaru Kutumbam,,,,1971
Bangaru Talli,,"Tapi Chamukya, Jamuna",,1971
Bhagyavantudu,,,,1971
Bhale Papa,K. S. Prakasa Rao,,,1971
Bomma Borusa,K. Balachander,"Chalam, S Varalaxmi",Remake,1971
Chelleli Kapuram,K. Vishwanath,"Shobhan, Vanisri",,1971
Chinnanati Snehitulu,K. Vishwanath,"NTR, Sobhan Babu, Vanisri",,1971
Dussehra Bullodu,,ANR,,1971
Iddaru Ammayilu,S. R. Puttanna Kanagal,"ANR, Vanisree, Shobhan Babu",,1971
Jeevitha Chakram,C. S. Rao,"NTR, Vanisri",Music,1971
Kalyana Mandapam,V. Madhusudan Rao,"Shobhan Babu, Kanchana",,1971
Manasu Mangalyam,K. Pratyagatma,"ANR, Jamuna",,1971
Mattilo Manikyam,,Chalam Jamuna Bhanumathi,,1971
Mosagallaku Mosagadu,K. S. R. Das,"Krishna, Vijayanirmala Nagabhushanam",Cowboy,1971
Naa Thammudu,,Shobhan Vanisri,,1971
Nenu Manishine,,,,1971
Nindu Dampathulu,K. Viswanath,"NTR, Savitri, Vijaya Nirmala",,1971
Pagabattina Paduchu,,Sharada,,1971
Pavitra Bandham,V. Madhusudhan Rao,"ANR, Kanchana, Vanisri, Krishnam Raju",Social,1971
Pavitra Hrudayalu,A. C. Tirulokchandar,"NTR, Jamuna, Chandrakala",,1971
Pethamdaarlu,,NTR,,1971
Prem Nagar,K. S. Prakasa Rao,"ANR, Vanisri",,1971
Raitu Bidda,B. A. Subba Rao,"NTR, Vanisri",,1971
Raitu Kutumbam,,ANR,,1971
Rajakota Rahasyam,B. Vittalacharya,"NTR, Devika",Folklore,1971
Ramalayam,K. Babu Rao,"Kongara Jaggaiah, Shobhan Babu",,1971
Rangeli Raja,,"ANR, Kanchana",,1971
Sampoorna Ramayanam,,"Bapu, Shobhan Babu, Chandrakala",Mythology,1971
Sati Ansuya,,Jamuna,Mythology,1971
Sri Krishna Satya,,NTR Jamuna,Mythology,1971
Shri Krishna Vijayamu,,"NTR, Jayalalithaa",Mythology,1971
Shrimantudu,,"ANR, Jamuna",,1971
Sisindri Chittibabu,,,,1971
Suputhrudu,Tatineni Rama Rao,"ANR, Lakshmi",Musical,1971
Thasildarugari Ammayi,,Shobhan Jamuna,,1971
Varalakshmi Vratam,B. Vittalacharya,"Kanta Rao, Krishnakumari",,1971
Vichithra kutumbam,,NTR Savitri Shobhan Krishna,"""Aadave jalkammulaadave.."" song",1971
Vikramarka Vijayam,,,,1971
Akka Thamudu,Krishnan-Raju,"Jayalalithaa, A. V. M. Rajan, R. Muthuraman",,1972
Antha Mana Manchike,Bhanumathi Ramakrishna,"Bhanumathi, Krishna, Nagabhushanam",,1972
Badi Panthulu[1],P. Chandrasekhara Reddy,"N. T. Rama Rao, Anjali Devi",Social,1972
Bala Bharatam,Kamalakara Kameshwara Rao,"Baby Sridevi, Anjali Devi",,1972
Bala Mitrula Katha,,,,1972
Bandipotu,,,Folklore,1972
Beedala Patlu,B. Vittalacharya,"ANR, Krishna Kumari",,1972
Bhale Mosagadu,,Krishna,Action,1972
Bharya Biddalu,T. Ramarao,"ANR, Jayalalitha Krishnakumari Sridevi",Music,1972
Datta Putrudu,T. Lenin Babu,"ANR, Vanisri",,1972
Guduputani,P. Lakshmi Deepak,"Krishna, Shubha",,1972
Hantakulu Devantakulu,,Krishna,Action,1972
Illu Illalu,,"Krishna, Vanisri",Social,1972
Inspector Bharya,,"Krishna, Chandrakala",,1972
Kalam Marindi,K. Viswanath,"Gummadi Venkateswara Rao, Anjali Devi, Shobhan Babu, Sharada",,1972
Koduku Kodalu,P. Pullaiah,"ANR, Vanisri",,1972
Kula Gowravam,Peketi Sivaram,"NTR, Jayanthi, Aarathi",,1972
Manavudu Danavudu,P. Chandrasekhara Reddy,"Shobhan Babu, Sharada",,1972
Manchi Rojulu Vachchaayi,V. Madhusudan Rao,ANR Kanchana,Social Message,1972
Mathru Murthy?,,,,1972
